Date,Price
2024-05-03,3205.63
2024-05-04,3217.75
2024-05-05,3226.91
2024-05-06,3220.25
2024-05-07,3183.98
2024-05-08,3173.73
2024-05-09,3195.99
2024-05-10,3182.72
2024-05-11,3258.3
2024-05-12,3241.28
2024-05-13,3246.17
2024-05-14,3204.21
2024-05-15,3180.75
2024-05-16,3180.55
2024-05-17,3208.07
2024-05-18,3226.2
2024-05-19,3218.52
2024-05-20,3204.29
2024-05-21,3177.09
2024-05-22,3186.72
2024-05-23,3176.09
2024-05-24,3173.49
2024-05-25,3182.46
2024-05-26,3189.91
2024-05-27,3209.04
2024-05-28,3174.41
2024-05-29,3160.6
2024-05-30,3170.91
2024-05-31,3194.88
2024-06-01,3219.54
2024-06-02,3191.2
2024-06-03,3205.41
2024-06-04,3211.27
2024-06-05,3190.88
2024-06-06,3185.73
2024-06-07,3218.38
2024-06-08,3199.68
2024-06-09,3219.78
2024-06-10,3189.44
2024-06-11,3186.06
2024-06-12,3204.49
2024-06-13,3195.98
2024-06-14,3210.75
2024-06-15,3215.97
2024-06-16,3212.29
2024-06-17,3218.67
2024-06-18,3184.47
2024-06-19,3201.37
2024-06-20,3184.91
2024-06-21,3212.68
2024-06-22,3233.22
2024-06-23,3224.58
2024-06-24,3221.44
2024-06-25,3183.47
2024-06-26,3179.71
2024-06-27,3184.87
2024-06-28,3244.2
2024-06-29,3214.58
2024-06-30,3228.18
2024-07-01,3150.49
2024-07-02,3167.6
2024-07-03,3164.57
2024-07-04,3149.07
2024-07-05,3183.75
2024-07-06,3210.08
2024-07-07,3192.39
2024-07-08,3186.14
2024-07-09,3171.48
2024-07-10,3176.51
2024-07-11,3143.95
2024-07-12,3196.85
2024-07-13,3180.66
2024-07-14,3193.11
2024-07-15,3186.81
2024-07-16,3182.92
2024-07-17,3167.64
2024-07-18,3171.3
2024-07-19,3180.68
2024-07-20,3177.37
2024-07-21,3175.68
2024-07-22,3188.22
2024-07-23,3151.96
2024-07-24,3144.48
2024-07-25,3157.82
2024-07-26,3155.93
2024-07-27,3187.12
2024-07-28,3185.22
2024-07-29,3198.66
2024-07-30,3185.24
2024-07-31,3165.67
2024-08-01,3195.48
2024-08-02,3204.4
2024-08-03,3240.37
2024-08-04,3201.46
2024-08-05,3211.16
2024-08-06,3201.99
2024-08-07,3204.78
2024-08-08,3176.33
2024-08-09,3215.65
2024-08-10,3214.52
2024-08-11,3225.14
2024-08-12,3219.0
2024-08-13,3182.93
2024-08-14,3192.86
2024-08-15,3195.66
2024-08-16,3218.07
2024-08-17,3216.13
2024-08-18,3256.9
2024-08-19,3187.18
2024-08-20,3199.79
2024-08-21,3174.61
2024-08-22,3213.37
2024-08-23,3191.68
2024-08-24,3242.2
2024-08-25,3196.53
2024-08-26,3237.36
2024-08-27,3187.4
2024-08-28,3176.06
2024-08-29,3189.39
2024-08-30,3226.01
2024-08-31,3224.98
2024-09-01,3264.68
2024-09-02,3254.31
2024-09-03,3235.74
2024-09-04,3211.23
2024-09-05,3189.98
2024-09-06,3236.15
2024-09-07,3254.9
2024-09-08,3245.21
2024-09-09,3219.29
2024-09-10,3226.77
2024-09-11,3196.92
2024-09-12,3217.9
2024-09-13,3235.04
2024-09-14,3258.17
2024-09-15,3247.16
2024-09-16,3270.49
2024-09-17,3240.33
2024-09-18,3206.64
2024-09-19,3240.63
2024-09-20,3239.43
2024-09-21,3247.14
2024-09-22,3286.37
2024-09-23,3251.91
2024-09-24,3218.11
2024-09-25,3209.91
2024-09-26,3237.72
2024-09-27,3241.52
2024-09-28,3252.66
2024-09-29,3250.68
2024-09-30,3227.44
2024-10-01,3225.88
2024-10-02,3195.11
2024-10-03,3180.97
2024-10-04,3215.29
2024-10-05,3197.32
2024-10-06,3228.82
2024-10-07,3221.52
2024-10-08,3195.58
2024-10-09,3180.61
2024-10-10,3181.65
2024-10-11,3191.93
2024-10-12,3196.15
2024-10-13,3222.43
2024-10-14,3219.79
2024-10-15,3204.96
2024-10-16,3183.93
2024-10-17,3210.32
2024-10-18,3174.14
2024-10-19,3231.2
2024-10-20,3210.59
2024-10-21,3223.59
2024-10-22,3215.79
2024-10-23,3197.76
2024-10-24,3207.75
2024-10-25,3202.16
2024-10-26,3219.44
2024-10-27,3248.39
2024-10-28,3213.1
2024-10-29,3213.5
2024-10-30,3234.44
2024-10-31,3197.63
2024-11-01,3225.01
2024-11-02,3228.07
2024-11-03,3222.43
2024-11-04,3218.81
2024-11-05,3213.54
2024-11-06,3199.71
2024-11-07,3181.85
2024-11-08,3213.63
2024-11-09,3235.99
2024-11-10,3220.57
2024-11-11,3209.78
2024-11-12,3189.8
2024-11-13,3181.1
2024-11-14,3176.12
2024-11-15,3221.41
2024-11-16,3224.51
2024-11-17,3244.86
2024-11-18,3207.16
2024-11-19,3196.5
2024-11-20,3181.7
2024-11-21,3195.36
2024-11-22,3212.63
2024-11-23,3227.32
2024-11-24,3227.99
2024-11-25,3209.37
2024-11-26,3205.23
2024-11-27,3195.09
2024-11-28,3179.21
2024-11-29,3200.93
2024-11-30,3235.26
2024-12-01,3243.52
2024-12-02,3208.25
2024-12-03,3216.72
2024-12-04,3193.84
2024-12-05,3199.51
2024-12-06,3222.0
2024-12-07,3216.95
2024-12-08,3220.95
2024-12-09,3206.37
2024-12-10,3194.22
2024-12-11,3223.24
2024-12-12,3207.9
2024-12-13,3213.17
2024-12-14,3216.92
2024-12-15,3212.79
2024-12-16,3218.72
2024-12-17,3219.35
2024-12-18,3162.28
2024-12-19,3213.51
2024-12-20,3240.02
2024-12-21,3243.85
2024-12-22,3231.13
2024-12-23,3228.41
2024-12-24,3238.65
2024-12-25,3198.72
2024-12-26,3203.06
2024-12-27,3226.08
2024-12-28,3246.59
2024-12-29,3241.48
2024-12-30,3236.69
2024-12-31,3200.43
2025-01-01,3203.65
2025-01-02,3215.53
2025-01-03,3214.99
2025-01-04,3249.2
2025-01-05,3275.09
2025-01-06,3216.3
2025-01-07,3165.25
2025-01-08,3197.23
2025-01-09,3222.86
2025-01-10,3189.62
2025-01-11,3251.4
2025-01-12,3261.11
2025-01-13,3207.24
2025-01-14,3199.92
2025-01-15,3203.63
2025-01-16,3204.84
2025-01-17,3216.89
2025-01-18,3236.87
2025-01-19,3244.07
2025-01-20,3210.23
2025-01-21,3193.77
2025-01-22,3204.25
2025-01-23,3212.02
2025-01-24,3209.7
2025-01-25,3218.31
2025-01-26,3222.5
2025-01-27,3239.41
2025-01-28,3204.15
2025-01-29,3199.13
2025-01-30,3226.47
2025-01-31,3199.64
2025-02-01,3222.21
2025-02-02,3259.47
2025-02-03,3233.45
2025-02-04,3195.25
2025-02-05,3195.37
2025-02-06,3181.54
2025-02-07,3230.78
2025-02-08,3244.15
2025-02-09,3201.68
2025-02-10,3231.22
2025-02-11,3201.82
2025-02-12,3187.63
2025-02-13,3161.58
2025-02-14,3194.77
2025-02-15,3210.95
2025-02-16,3262.91
2025-02-17,3225.35
2025-02-18,3213.34
2025-02-19,3229.0
2025-02-20,3202.1
2025-02-21,3217.27
2025-02-22,3206.26
2025-02-23,3252.18
2025-02-24,3199.62
2025-02-25,3212.32
2025-02-26,3192.9
2025-02-27,3205.45
2025-02-28,3208.16
2025-03-01,3215.9
2025-03-02,3260.55
2025-03-03,3224.41
2025-03-04,3197.08
2025-03-05,3206.02
2025-03-06,3187.72
2025-03-07,3243.5
2025-03-08,3233.16
2025-03-09,3210.91
2025-03-10,3231.3
2025-03-11,3181.22
2025-03-12,3198.69
2025-03-13,3204.34
2025-03-14,3226.46
2025-03-15,3241.43
2025-03-16,3222.77
2025-03-17,3238.51
2025-03-18,3179.6
2025-03-19,3194.12
2025-03-20,3186.66
2025-03-21,3202.6
2025-03-22,3207.8
2025-03-23,3232.45
2025-03-24,3224.18
2025-03-25,3211.72
2025-03-26,3206.95
2025-03-27,3176.65
2025-03-28,3242.56
2025-03-29,3208.14
2025-03-30,3261.48
2025-03-31,3218.66
2025-04-01,3212.02
2025-04-02,3183.05
2025-04-03,3177.25
2025-04-04,3188.24
2025-04-05,3232.29
2025-04-06,3241.73
